Date,Open,Close,High,Low,Volume
2010/12/31,3069.053,3128.261,3129.446,3067.108,6256608000
2011/1/4,3155.557,3189.682,3194.358,3143.604,8541044000
2011/1/5,3170.181,3175.662,3193.779,3158.871,7926880800
2011/1/6,3177.835,3159.643,3198.052,3152.572,5968109200
2011/1/7,3156.362,3166.624,3209.9,3141.125,8409323200
2011/1/10,3162.085,3108.187,3182.782,3102.428,6549440800
2011/1/11,3096.249,3124.922,3131.292,3084.513,5698591600
2011/1/12,3135.18,3142.337,3153.43,3099.413,5849852000
2011/1/13,3153.985,3141.284,3157.036,3127.158,5193698800
2011/1/14,3129.667,3091.862,3129.667,3083.511,5335144000
2011/1/17,3067.433,2974.35,3078.88,2968.61,6680756000
2011/1/18,2965.424,2977.648,2984.47,2947.6,4296456400
2011/1/19,2978.457,3044.851,3045.605,2967.243,5657194400
2011/1/20,3037.862,2944.713,3037.862,2944.498,6104664400
2011/1/21,2935.233,2983.456,3030.265,2935.138,7310296800
2011/1/24,2986.092,2954.232,2999.201,2943.92,6547254400
2011/1/25,2949.647,2938.654,2960.587,2919.162,4898268800
2011/1/26,2939.773,2978.431,2982.322,2939.356,4337498000
2011/1/27,2953.589,3026.466,3037.159,2935.271,8258592000
2011/1/28,3020.122,3036.735,3047.266,3011.375,6301358800
2011/1/31,3035.418,3076.508,3076.547,3032.449,6710591200
2011/2/1,3083.493,3077.283,3087.225,3062.83,4986252800
2011/2/9,3055.398,3040.949,3087.551,3031.749,6039414400
2011/2/10,3034.079,3104.163,3105.324,3024.349,6660366400
2011/2/11,3100.274,3120.956,3133.499,3092.582,7597555200
2011/2/14,3123.246,3219.143,3227.432,3123.246,12130232800
2011/2/15,3223.222,3217.671,3259.639,3215.619,10955444000
2011/2/16,3211.135,3248.527,3248.849,3195.467,9133428000
2011/2/17,3255.626,3245.907,3265.257,3218.913,8896469600
2011/2/18,3240.051,3211.876,3242.374,3203.12,7537868800
2011/2/21,3192.146,3257.908,3258.28,3189.848,7939977600
2011/2/22,3267.615,3163.578,3269.048,3161.833,10786374400
2011/2/23,3152.441,3174.742,3182.185,3145.986,7132485600
2011/2/24,3170.236,3190.935,3195.688,3157.969,6648689200
2011/2/25,3190.872,3197.617,3213.792,3159.847,6161927600
2011/2/28,3200.677,3239.559,3241.597,3178.831,7663066400
2011/3/1,3241.714,3254.893,3273.511,3235.754,8856695200
2011/3/2,3237.116,3243.298,3257.419,3202.833,8091064000
2011/3/3,3248.156,3221.718,3271.64,3221.038,10122000000
2011/3/4,3223.507,3270.666,3273.658,3217.477,8001391200
2011/3/7,3287.405,3334.51,3337.466,3287.405,11818720000
2011/3/8,3335.71,3337.457,3342.711,3311.722,8487865600
2011/3/9,3344.1,3338.858,3355.487,3322.698,7802636000
2011/3/10,3330.444,3280.259,3330.444,3279.33,7821264000
2011/3/11,3263.081,3247.376,3290.7,3240.181,6720833600
2011/3/14,3238.905,3262.92,3263.906,3230.114,6368978400
2011/3/15,3250.595,3203.961,3250.595,3147.957,9603397600
2011/3/16,3204.919,3248.195,3250.878,3202.931,7885952000
2011/3/17,3216.288,3197.1,3240.381,3185.084,8568711200
