Datetime,Open,High,Low,Close,Volume
2023-04-18 16:00:00+08:00,29791.1,29795.5,29791.1,29794.5,1599
2023-04-18 15:59:00+08:00,29785.4,29791.7,29785.4,29790.4,8591
2023-04-18 15:58:00+08:00,29783.9,29795.5,29783.9,29794.7,12395
2023-04-18 15:57:00+08:00,29795.9,29804.9,29425.9,29784.1,28188
2023-04-18 15:56:00+08:00,29805.9,29813.5,29788.0,29795.6,16427
2023-04-18 15:55:00+08:00,29803.2,29804.8,29796.6,29804.8,25968
2023-04-18 15:54:00+08:00,29790.2,29803.0,29789.6,29803.0,18353
2023-04-18 15:53:00+08:00,29800.0,29800.9,29794.6,29794.6,32476
2023-04-18 15:52:00+08:00,29794.7,29800.0,29794.7,29800.0,5421
2023-04-18 15:51:00+08:00,29788.5,29794.0,29788.5,29794.0,4644
2023-04-18 15:50:00+08:00,29790.1,29790.2,29786.2,29787.3,3041
2023-04-18 15:49:00+08:00,29771.6,29789.3,29771.6,29789.3,14507
2023-04-18 15:48:00+08:00,29763.7,29775.1,29763.7,29775.0,12765
2023-04-18 15:47:00+08:00,29754.2,29763.4,29754.2,29763.4,7052
2023-04-18 15:46:00+08:00,29754.2,29761.3,29754.2,29756.8,5704
2023-04-18 15:45:00+08:00,29746.7,29752.0,29746.7,29752.0,6464
2023-04-18 15:44:00+08:00,29757.8,29765.9,29746.7,29746.7,15404
2023-04-18 15:43:00+08:00,29763.4,29770.0,29759.0,29759.0,5335
2023-04-18 15:42:00+08:00,29782.1,29782.1,29757.8,29763.1,5196
2023-04-18 15:41:00+08:00,29765.8,29793.9,29765.8,29780.4,28457
2023-04-18 15:40:00+08:00,29755.0,29761.4,29755.0,29761.4,6114
2023-04-18 15:39:00+08:00,29756.5,29756.5,29754.9,29754.9,114
2023-04-18 15:38:00+08:00,29746.1,29756.5,29744.6,29756.5,7258
2023-04-18 15:37:00+08:00,29738.4,29745.7,29738.4,29745.7,8946
2023-04-18 15:36:00+08:00,29750.0,29750.0,29742.0,29742.0,3522
2023-04-18 15:35:00+08:00,29744.8,29762.6,29744.8,29749.5,16992
2023-04-18 15:34:00+08:00,29776.8,29776.8,29748.4,29748.4,5125
2023-04-18 15:33:00+08:00,29748.2,29775.5,29748.2,29775.5,31339
2023-04-18 15:32:00+08:00,29744.5,29746.7,29744.5,29746.7,5047
2023-04-18 15:31:00+08:00,29738.6,29744.4,29738.6,29744.0,13978
2023-04-18 15:30:00+08:00,29744.5,29744.5,29738.6,29738.6,296
2023-04-18 15:29:00+08:00,29735.4,29743.6,29735.4,29743.6,11431
2023-04-18 15:28:00+08:00,29731.4,29735.1,29731.4,29735.1,5376
2023-04-18 15:27:00+08:00,29744.7,29744.7,29730.0,29731.5,5105
2023-04-18 15:26:00+08:00,29745.8,29757.7,29744.9,29744.9,11322
2023-04-18 15:25:00+08:00,29740.4,29744.8,29740.4,29744.8,5891
2023-04-18 15:24:00+08:00,29736.6,29740.3,29736.6,29740.3,6008
2023-04-18 15:23:00+08:00,29732.5,29742.9,29732.5,29736.3,8586
2023-04-18 15:22:00+08:00,29729.9,29731.7,29725.0,29731.7,5071
2023-04-18 15:21:00+08:00,29725.0,29732.7,29725.0,29732.7,4457
2023-04-18 15:20:00+08:00,29720.0,29722.9,29720.0,29722.9,4584
2023-04-18 15:19:00+08:00,29713.2,29719.1,29713.2,29719.1,8834
2023-04-18 15:18:00+08:00,29704.0,29708.2,29704.0,29708.2,6777
2023-04-18 15:17:00+08:00,29708.0,29710.4,29708.0,29708.0,1924
2023-04-18 15:16:00+08:00,29694.5,29707.3,29694.5,29707.3,11092
2023-04-18 15:15:00+08:00,29723.5,29724.9,29694.7,29694.7,7008
2023-04-18 15:14:00+08:00,29687.5,29727.4,29687.5,29727.4,30558
2023-04-18 15:13:00+08:00,29692.0,29692.0,29687.7,29687.7,465
2023-04-18 15:12:00+08:00,29693.6,29695.8,29692.0,29692.0,2738
2023-04-18 15:11:00+08:00,29696.5,29696.5,29696.5,29696.5,268
2023-04-18 15:10:00+08:00,29700.0,29705.3,29696.6,29696.6,4807
2023-04-18 15:09:00+08:00,29697.2,29699.9,29697.2,29699.9,2693
2023-04-18 15:08:00+08:00,29697.3,29698.5,29697.3,29698.5,2049
2023-04-18 15:07:00+08:00,29695.3,29697.1,29695.3,29697.1,3716
2023-04-18 15:06:00+08:00,29709.9,29709.9,29695.4,29695.4,788
2023-04-18 15:05:00+08:00,29710.3,29710.3,29710.0,29710.0,148
2023-04-18 15:04:00+08:00,29707.6,29714.2,29707.6,29710.3,230
